step	loss
0	9.304975759924563
1	8.628588971081664
2	7.084282824258819
3	6.213058768004636
4	5.069972883322086
5	4.33227719502216
6	3.946174612081449
7	2.8020935858631515
8	1.4201555477910162
9	0.904258199356722
